image_size,threads,run1_time,run2_time,run3_time
256,1,0.004742,0.005598,0.004868
256,2,0.007125,0.007162,0.007124
256,4,0.003671,0.00362,0.003662
256,8,0.001899,0.00189,0.001885
256,16,0.001041,0.001033,0.001009
256,32,0.001011,0.000937,0.001132
1024,1,0.073394,0.073776,0.074409
1024,2,0.045436,0.046479,0.045746
1024,4,0.030848,0.027704,0.027695
1024,8,0.018357,0.019045,0.019138
1024,16,0.012261,0.01226,0.011768
1024,32,0.010639,0.011459,0.010737
4000,1,1.094043,1.095239,1.093021
4000,2,0.569158,0.571297,0.573007
4000,4,0.298862,0.300675,0.297942
4000,8,0.157324,0.158583,0.161479
4000,16,0.082829,0.083112,0.083682
4000,32,0.076197,0.079009,0.084017
16000,1,18.821223,18.834489,18.683824
16000,2,9.601452,9.490942,9.463919
16000,4,4.937583,5.007449,5.128998
16000,8,2.548476,2.546329,2.548408
16000,16,1.324684,1.284376,1.292626
16000,32,1.227381,1.281601,1.192323
